ds,yhat
2018-07-25,2620101.543993601
2018-07-26,2543252.5295943865
2018-07-27,2853202.7157952082
2018-07-28,4187107.4698775206
2018-07-29,4367567.971776628
2018-07-30,2623885.630947384
2018-07-31,2532994.8722683024
2018-08-01,2587347.6847361065
2018-08-02,2506203.1915902896
2018-08-03,2811154.5313775577
2018-08-04,4139671.0198193756
2018-08-05,4314698.709036516
2018-08-06,2565901.771335557
2018-08-07,2470581.4376854068
2018-08-08,2521546.351703938
2018-08-09,2438388.0798938517
2018-08-10,2742994.5497531365
2018-08-11,4073079.8517584405
2018-08-12,4251773.957047584
2018-08-13,2508855.167953582
2018-08-14,2421662.3633834296
2018-08-15,2482961.249745354
2018-08-16,2412218.104022752
2018-08-17,2731114.7554873517
2018-08-18,4077082.37522344
2018-08-19,4272897.9822220635
2018-08-20,2547926.2254782035
2018-08-21,2479043.249145034
2018-08-22,2558516.431429047
2018-08-23,2505293.521385885
2018-08-24,2840533.586939553
2018-08-25,4201157.720048056
2018-08-26,4409462.442544345
2018-08-27,2694377.921145258
2018-08-28,2632407.2654321594
2018-08-29,2715520.1881561587
2018-08-30,2662454.0788540365
2018-08-31,2994254.484310254
2018-09-01,4347832.589161637
2018-09-02,4545582.366525979
2018-09-03,2816639.3221527715
2018-09-04,2737817.0164303426
2018-09-05,2801494.6540099597
2018-09-06,2726908.903198135
2018-09-07,3035682.1491286596
2018-09-08,4365365.078466283
2018-09-09,4539036.656430459
2018-09-10,2786543.8864542707
2018-09-11,2685418.066454724
2018-09-12,2728741.409175134
2018-09-13,2636417.797781852
2018-09-14,2930680.503342383
2018-09-15,4249615.379863432
2018-09-16,4416857.756720381
2018-09-17,2662473.150422342
2018-09-18,2564204.648785279
2018-09-19,2615215.6129180053
2018-09-20,2535354.6247290927
2018-09-21,2846661.1786667327
2018-09-22,4186890.763457627
2018-09-23,4379103.007702113
2018-09-24,2652895.7378709847
2018-09-25,2585321.9502847777
2018-09-26,2668763.6708191577
2018-09-27,2622216.392541861
2018-09-28,2966816.6497392124
2018-09-29,4339390.79357528
2018-09-30,4562068.003089797
2018-10-01,2863539.6976135047
2018-10-02,2820001.6470921417
2018-10-03,2923052.045826972
2018-10-04,2890998.549253778
2018-10-05,3244406.178866936
2018-10-06,4619663.563855355
2018-10-07,4838610.030483775
2018-10-08,3129805.2726445203
2018-10-09,3069477.570318292
2018-10-10,3149423.605154479
2018-10-11,3088312.7772414465
2018-10-12,3407227.9568630042
2018-10-13,4743220.293334493
2018-10-14,4918920.8667427525
2018-10-15,3163791.3054376016
2018-10-16,3055049.8297350556
2018-10-17,3085546.3561585317
2018-10-18,2975104.664301137
2018-10-19,3245842.088405544
2018-10-20,4535889.488826682
2018-10-21,4668910.681542612
2018-10-22,2875326.4028960783
2018-10-23,2733215.57021336
2018-10-24,2736168.162108198
2018-10-25,2604543.90440398
2018-10-26,2860969.9484921955
2018-10-27,4143856.352838146
2018-10-28,4276973.243853575
2018-10-29,2490672.7398041547
2018-10-30,2362792.9018044216
2018-10-31,2386517.9688825263
2018-11-01,2281648.865021711
2018-11-02,2570116.8409156026
2018-11-03,3889518.6196312704
2018-11-04,4062716.375650854
2018-11-05,2319084.993826451
2018-11-06,2235443.162871465
2018-11-07,2303941.798178296
2018-11-08,2243362.988602558
2018-11-09,2574661.5279013524
2018-11-10,3934526.6119964523
2018-11-11,4145006.27990251
2018-11-12,2434776.3511438053
2018-11-13,2380089.798366887
2018-11-14,2472679.5295188325
2018-11-15,2431067.3644737927
2018-11-16,2776110.9796007043
2018-11-17,4144566.2453902527
2018-11-18,4358707.514854385
2018-11-19,2647689.77776475
2018-11-20,2588178.6429145047
2018-11-21,2672541.955340456
2018-11-22,2620035.8735800376
2018-11-23,2952328.0056360997
2018-11-24,4307033.66749402
2018-11-25,4507308.5732422415
2018-11-26,2783080.6236249697
2018-11-27,2711957.803086824
2018-11-28,2787086.3583277054
2018-11-29,2728413.3354034196
2018-11-30,3058186.598081088
2018-12-01,4414471.120565335
2018-12-02,4620725.4601947265
2018-12-03,2907021.5692009595
2018-12-04,2850945.328925145
2018-12-05,2945452.2233719947
2018-12-06,2910132.335714254
2018-12-07,3266717.756717457
2018-12-08,4652611.024285732
2018-12-09,4890478.190360193
2018-12-10,3209489.2374692196
2018-12-11,3186242.676332323
2018-12-12,3312648.088979443
2018-12-13,3307220.066628084
2018-12-14,3690615.8349379133
2018-12-15,5099194.349993357
2018-12-16,5354639.6089122165
2018-12-17,3685230.0526818912
2018-12-18,3666790.0787954275
2018-12-19,3790596.668350039
2018-12-20,3774693.892041774
2018-12-21,4139447.0672625573
2018-12-22,5521113.520345202
2018-12-23,5741473.042355547
2018-12-24,4029098.995783926
2018-12-25,3960306.359430714
2018-12-26,4027049.709323415
2018-12-27,3948224.104353418
2018-12-28,4245200.919171017
2018-12-29,5555376.394684732
2018-12-30,5701775.875209488
2018-12-31,3914296.066829942
2019-01-01,3770622.011124362
2019-01-02,3764092.65652488
2019-01-03,3614968.8462185804
2019-01-04,3845936.6274180957
2019-01-05,5095624.503354172
2019-01-06,5188178.41326562
2019-01-07,3354477.534410823
2019-01-08,3173028.282165212
2019-01-09,3137810.976658839
2019-01-10,2969533.46968438
2019-01-11,3191124.9876138116
2019-01-12,4441249.029869484
2019-01-13,4543879.188323213
2019-01-14,2729520.922412678
2019-01-15,2576116.4698631293
2019-01-16,2576907.034702816
2019-01-17,2451706.0988596412
2019-01-18,2722416.558013019
2019-01-19,4026569.874761139
2019-01-20,4186930.3950309595
2019-01-21,2432747.09040172
2019-01-22,2340689.1046934486
2019-01-23,2402738.4286369886
2019-01-24,2337492.7642920204
2019-01-25,2665710.5054781595
2019-01-26,4023875.328501997
2019-01-27,4233822.907996667
2019-01-28,2524011.4826090327
2019-01-29,2470472.2154568704
2019-01-30,2564712.3638183363
2019-01-31,2525024.1149805654
2019-02-01,2872030.9628321696
2019-02-02,4242249.1761620855
2019-02-03,4457707.061921426
2019-02-04,2747204.0523720197
2019-02-05,2687245.971837455
2019-02-06,2769930.0019924026
2019-02-07,2714232.784789762
2019-02-08,3041534.1798235606
2019-02-09,4389154.910082741
2019-02-10,4579951.502856102
2019-02-11,2843551.2582032224
2019-02-12,2757264.2838684698
2019-02-13,2813946.759029553
2019-02-14,2733269.451499717
2019-02-15,3037224.516883405
2019-02-16,4363649.237538319
2019-02-17,4535810.43334593
2019-02-18,2783632.4951095395
2019-02-19,2684606.186709404
2019-02-20,2731652.3724675784
2019-02-21,2644394.5779671655
2019-02-22,2944673.1906162445
2019-02-23,4270079.638632367
2019-02-24,4443553.874383027
2019-02-25,2694627.6361581893
2019-02-26,2600350.09835226
2019-02-27,2653169.4924320383
2019-02-28,2572224.010377166
2019-03-01,2878874.1973259286
2019-03-02,4210254.587807013
2019-03-03,4388887.361005261
2019-03-04,2643939.9866309944
2019-03-05,2552163.0358437365
2019-03-06,2605781.3798267124
2019-03-07,2523791.8162437226
2019-03-08,2827499.1541005094
2019-03-09,4154068.434830883
2019-03-10,4326136.089726137
2019-03-11,2573062.129339769
2019-03-12,2471859.7580303857
2019-03-13,2515075.94192067
2019-03-14,2422076.3528043916
2019-03-15,2714567.164858433
2019-03-16,4030131.8777808133
2019-03-17,4191826.4956536847
2019-03-18,2429415.7029948235
2019-03-19,2320286.9759579683
2019-03-20,2357316.6835932513
2019-03-21,2260142.0935184467
2019-03-22,2550672.200182399
2019-03-23,3866615.926427416
2019-03-24,4031071.3284574123
2019-03-25,2273758.660822181
2019-03-26,2171934.361939056
2019-03-27,2218023.8307342427
2019-03-28,2131607.8901122697
2019-03-29,2434233.583636922
2019-03-30,3763189.704582613
2019-03-31,3941109.2956906944
2019-04-01,2197217.7755274465
2019-04-02,2108263.2814117298
2019-04-03,2166402.7947387774
2019-04-04,2090497.3472571454
2019-04-05,2401648.503673743
2019-04-06,3736753.863064985
2019-04-07,3918124.3410912906
2019-04-08,2174745.1880504023
2019-04-09,2083216.8967445889
2019-04-10,2135649.197624856
2019-04-11,2050961.151352443
2019-04-12,2350419.3344811015
2019-04-13,3671191.756928997
2019-04-14,3835960.2687638407
2019-04-15,2074173.507376037
2019-04-16,1962976.73286853
2019-04-17,1995092.0361251258
2019-04-18,1890102.3014255029
2019-04-19,2169971.365376114
2019-04-20,3472578.5183311026
2019-04-21,3621310.6600120366
2019-04-22,1846294.7449496805
2019-04-23,1725307.4634771084
2019-04-24,1751636.2362235782
2019-04-25,1645345.4753480533
2019-04-26,1928781.0868046158
2019-04-27,3240091.8372680107
2019-04-28,3401819.918352325
2019-04-29,1645100.6066436518
2019-04-30,1547594.3274695377
2019-05-01,1602339.2088233896
2019-05-02,1529021.1748938183
2019-05-03,1849485.8682196664
2019-05-04,3201270.84844052
2019-05-05,3407201.5133192777
2019-05-06,1696633.338976381
2019-05-07,1646377.1739499732
2019-05-08,1748581.2866461105
2019-05-09,1722023.5843121577
2019-05-10,2087646.3002244479
2019-05-11,3482110.9720316725
2019-05-12,3727416.5297144987
2019-05-13,2052162.478748167
2019-05-14,2032493.3351368748
2019-05-15,2159997.4838236747
2019-05-16,2153013.4156787307
2019-05-17,2532175.2550666127
2019-05-18,3933975.1055409852
2019-05-19,4180384.83435071
2019-05-20,2500119.1867512306
2019-05-21,2469576.397876678
2019-05-22,2580729.590030277
2019-05-23,2552422.128533665
2019-05-24,2905899.161328634
2019-05-25,4278353.2689276915
2019-05-26,4492527.318861646
2019-05-27,2777956.9493752746
2019-05-28,2711889.429071825
2019-05-29,2787152.787406558
2019-05-30,2722891.422892735
2019-05-31,3041688.945689062
2019-06-01,4381480.926208947
2019-06-02,4565677.030423055
2019-06-03,2824387.534633146
2019-06-04,2735328.9689852656
2019-06-05,2791683.1212092903
2019-06-06,2713363.4373244927
2019-06-07,3022521.803608442
2019-06-08,4357074.270260003
2019-06-09,4540289.302000978
2019-06-10,2802021.3159225285
2019-06-11,2719626.424644307
2019-06-12,2785834.283565505
2019-06-13,2720029.6705834586
2019-06-14,3043776.3117075143
2019-06-15,4394360.993501298
2019-06-16,4594400.995517713
2019-06-17,2873097.03455066
2019-06-18,2807168.0712950528
2019-06-19,2888741.3277381626
2019-06-20,2836650.627123311
2019-06-21,3171975.101593734
2019-06-22,4531595.902238232
2019-06-23,4737813.611704568
2019-06-24,3019608.3009625887
2019-06-25,2953578.419494027
2019-06-26,3031831.799246325
2019-06-27,2973281.910187018
2019-06-28,3299181.5310016996
2019-06-29,4646671.675878186
2019-06-30,4838388.764436195
2019-07-01,3103712.183069142
2019-07-02,3019689.600727848
2019-07-03,3078912.270121416
2019-07-04,3000795.4598127147
2019-07-05,3307095.9349998045
2019-07-06,4635444.989861857
2019-07-07,4808940.513320064
2019-07-08,3057380.851583609
2019-07-09,2958177.4927544133
2019-07-10,3004220.6782239084
2019-07-11,2915151.865845752
2019-07-12,3212875.9343550433
2019-07-13,4535091.612640519
2019-07-14,4704883.6609133575
2019-07-15,2951959.5249284436
2019-07-16,2853567.3605830814
2019-07-17,2902369.324873164
2019-07-18,2817723.775469671
2019-07-19,3121208.921417742
2019-07-20,4450166.008513067
2019-07-21,4627305.126533307
2019-07-22,2881955.89380108
2019-07-23,2790999.4402520536
2019-07-24,2846755.113447816
2019-07-25,2768275.0981675293
2019-07-26,3076879.0748035614
2019-07-27,4409706.630667668
2019-07-28,4589330.2015267415
2019-07-29,2845010.558742632
2019-07-30,2753631.1003592876
2019-07-31,2807584.290692254
2019-08-01,2726063.444358833
2019-08-02,3030592.0557549973
2019-08-03,4358568.637449363
2019-08-04,4532869.943891524
2019-08-05,2783095.067840289
2019-08-06,2686486.9717122046
2019-08-07,2735805.240471721
2019-08-08,2650603.7128982176
2019-08-09,2952745.687190354
2019-08-10,4279935.07204505
2019-08-11,4455306.982978743
2019-08-12,2708660.5638858434
2019-08-13,2617371.0745132854
2019-08-14,2674255.3626732905
2019-08-15,2598844.658829588
2019-08-16,2912897.5931312474
2019-08-17,4253931.926555943
2019-08-18,4444818.527847147
2019-08-19,2715020.317737901
2019-08-20,2641513.072837533
2019-08-21,2716661.9738927665
2019-08-22,2659507.522061836
2019-08-23,2991293.3388463063
2019-08-24,4349013.897226087
2019-08-25,4555025.225550248
2019-08-26,2838300.7838632665
2019-08-27,2775368.8679204267
2019-08-28,2858204.8893568665
2019-08-29,2805531.63736512
2019-08-30,3138359.55326452
2019-08-31,4493544.631093404
2019-09-01,4693406.615086304
2019-09-02,2966989.399422006
2019-09-03,2890999.777492554
2019-09-04,2957697.7727091773
2019-09-05,2886191.6546032927
2019-09-06,3197969.7312234705
2019-09-07,4530446.743358547
2019-09-08,4706567.79984372
2019-09-09,2956052.1321151257
2019-09-10,2856313.264277986
2019-09-11,2900329.3485710667
2019-09-12,2807917.3239722066
2019-09-13,3101243.6182094347
2019-09-14,4418349.813188165
2019-09-15,4582736.847164178
2019-09-16,2824590.631335549
2019-09-17,2721686.2426227103
2019-09-18,2767244.953858924
2019-09-19,2681198.2006214545
2019-09-20,2985691.5625119316
2019-09-21,4318607.440789157
2019-09-22,4503150.163001232
2019-09-23,2769076.438878412
2019-09-24,2693608.2624652474
2019-09-25,2769302.3417754313
2019-09-26,2715329.8660557074
2019-09-27,3052999.2970616897
2019-09-28,4419300.382642412
2019-09-29,4636512.560354915
2019-09-30,2933460.048550748
2019-10-01,2886450.0462197475
2019-10-02,2987167.4216257725
2019-10-03,2953978.9904704248
2019-10-04,3307479.3730676407
2019-10-05,4684055.964360787
2019-10-06,4905412.915850395
2019-10-07,3200149.164480186
2019-10-08,3144399.9126200583
2019-10-09,3229841.143259168
2019-10-10,3174996.74535984
2019-10-11,3500782.768668573
2019-10-12,4844066.339319959
2019-10-13,5027281.913808487
2019-10-14,3279686.871090041
2019-10-15,3178292.769124853
2019-10-16,3215745.7581384405
2019-10-17,3111609.5695255687
2019-10-18,3387883.5866545634
2019-10-19,4682534.233908675
2019-10-20,4819083.10881565
2019-10-21,3027834.6258078357
2019-10-22,2886780.266488362
2019-10-23,2889453.6755110165
2019-10-24,2756190.724506975
2019-10-25,3009627.6907279957
2019-10-26,4288216.345347749
2019-10-27,4415799.8369583655
2019-10-28,2622832.488071345
2019-10-29,2487280.826796355
2019-10-30,2502480.191424031
2019-10-31,2388400.996483898
2019-11-01,2667157.641514031
2019-11-02,3976538.564163312
2019-11-03,4139600.9100529067
2019-11-04,2385912.415410381
2019-11-05,2292477.2086118106
2019-11-06,2351619.175122364
2019-11-07,2282236.6908640675
2019-11-08,2605458.5809986107
2019-11-09,3958083.677009076
2019-11-10,4162241.9776197756
2019-11-11,2446661.5833914434
2019-11-12,2387616.933703025
2019-11-13,2476831.353425909
2019-11-14,2432786.701257768
2019-11-15,2776271.8745591072
2019-11-16,4143947.5516615976
2019-11-17,4357969.660890179
2019-11-18,2647253.355245278
2019-11-19,2588413.5714021036
2019-11-20,2673655.398135656
2019-11-21,2622067.3931191987
2019-11-22,2955150.0697242734
2019-11-23,4310357.508284171
2019-11-24,4510695.245506728
2019-11-25,2785956.957311868
2019-11-26,2713636.8017064566
2019-11-27,2786791.4636051254
2019-11-28,2725305.8634596397
2019-11-29,3051395.5566537497
2019-11-30,4403124.543066585
2019-12-01,4603982.343084503
2019-12-02,2884103.4754361073
2019-12-03,2821166.723247451
2019-12-04,2908248.634477713
2019-12-05,2865085.4956401633
2019-12-06,3213576.947160746
2019-12-07,4591309.961233165
2019-12-08,4821146.899258633
2019-12-09,3132314.9788861256
2019-12-10,3101761.7776674037
2019-12-11,3221595.4017700297
2019-12-12,3210518.223042726
2019-12-13,3589358.990385767
2019-12-14,4994626.7827789765
2019-12-15,5248129.692933368
2019-12-16,3578240.2504477995
2019-12-17,3560843.71600646
2019-12-18,3687242.3446676787
2019-12-19,3675468.45279272
2019-12-20,4045838.0358532043
2019-12-21,5434522.259438543
2019-12-22,5663179.2038543625
2019-12-23,3960227.483819221
2019-12-24,3901797.6199655356
2019-12-25,3979634.1444262275
2019-12-26,3912401.3024832834
2019-12-27,4221224.266858976
2019-12-28,5543243.4939367045
2019-12-29,5701225.038373632
2019-12-30,3924809.0008206414
2019-12-31,3791432.640284735
2020-01-01,3794201.8723344733
2020-01-02,3653164.817072469
2020-01-03,3890820.1569591905
2020-01-04,5145638.795257861
2020-01-05,5241642.487607461
2020-01-06,3409622.448431336
2020-01-07,3228035.2394899037
2020-01-08,3190850.3647690867
2020-01-09,3018803.8474143054
2020-01-10,3234891.048206126
2020-01-11,4477877.621745957
2020-01-12,4571872.489796666
2020-01-13,2747545.9935568627
2020-01-14,2583030.4849715205
2020-01-15,2571777.6235456946
2020-01-16,2433826.35941864
2020-01-17,2691314.44827542
2020-01-18,3982011.8422331642
2020-01-19,4128919.2559107067
2020-01-20,2361514.321275583
2020-01-21,2256681.8530922052
2020-01-22,2306601.6895861737
2020-01-23,2230047.277724927
2020-01-24,2547927.045652285
2020-01-25,3896846.1338751074
2020-01-26,4098731.0632532607
2020-01-27,2382099.103078584
2020-01-28,2323008.2987904577
2020-01-29,2412961.164102533
2020-01-30,2370214.8614047193
2020-01-31,2715329.689492545
2020-02-01,4084733.3537759953
2020-02-02,4300343.628333088
2020-02-03,2590831.329930097
2020-02-04,2532559.839048211
2020-02-05,2617474.558280659
2020-02-06,2564395.614138752
2020-02-07,2894546.185808819
2020-02-08,4245094.56494521
2020-02-09,4438753.230496353
2020-02-10,2705017.5590134053
2020-02-11,2621081.110865628
2020-02-12,2679701.5730134025
2020-02-13,2600471.3191244467
2020-02-14,2905325.572586694
2020-02-15,4232066.807835843
2020-02-16,4403949.1210279465
2020-02-17,2650905.541289693
2020-02-18,2550455.4687036537
2020-02-19,2595566.454746714
2020-02-20,2505924.3087219577
2020-02-21,2803444.4261790486
2020-02-22,4125802.7784718843
2020-02-23,4296029.998630922
2020-02-24,2543751.1494605355
2020-02-25,2446107.8990030494
2020-02-26,2495636.7967121066
2020-02-27,2411557.067517002
2020-02-28,2715300.2269893917
2020-02-29,4044059.356322514
2020-03-01,4220400.882487098
2020-03-02,2473520.888549246
2020-03-03,2380182.164100592
2020-03-04,2432605.2348709814
2020-03-05,2349766.4092116444
2020-03-06,2652934.850268959
2020-03-07,3979226.3119900003
2020-03-08,4151216.2826102134
2020-03-09,2398194.560016905
2020-03-10,2297097.5684132674
2020-03-11,2340391.8511713813
2020-03-12,2247362.062163095
2020-03-13,2539635.8288077028
2020-03-14,3855326.647494656
2020-03-15,4016822.5850408794
2020-03-16,2253834.2427634373
2020-03-17,2143707.9261054303
2020-03-18,2179293.4562475313
2020-03-19,2080217.3878548578
2020-03-20,2368394.508161149
2020-03-21,3681556.1424656175
2020-03-22,3842838.8888147315
2020-03-23,2082016.6497329907
2020-03-24,1976413.0508067186
2020-03-25,2018768.37403715
2020-03-26,1928514.9114810978
2020-03-27,2227293.567433013
2020-03-28,3552490.091115319
2020-03-29,3726834.327849714
2020-03-30,1979645.037048003
2020-03-31,1887756.9725353704
2020-04-01,1943403.8961636017
2020-04-02,1865510.9245642312
2020-04-03,2175228.498676012
2020-04-04,3509485.8029601243
2020-04-05,3690606.4681046233
2020-04-06,1947568.5692525818
2020-04-07,1856945.1140736793
2020-04-08,1910798.2402949831
2020-04-09,1827980.136458624
2020-04-10,2129672.6659148904
2020-04-11,3452943.2984897555
2020-04-12,3620360.055319859
2020-04-13,1861247.449474476
2020-04-14,1752619.6875473713
2020-04-15,1787064.5217451213
2020-04-16,1684031.0305219113
2020-04-17,1965353.659212529
2020-04-18,3268790.553731586
2020-04-19,3417619.3863087837
2020-04-20,1641873.1997870225
2020-04-21,1519253.1143033544
2020-04-22,1542991.8820499803
2020-04-23,1433122.1643748563
2020-04-24,1711982.4412801582
2020-04-25,3017739.1301007606
2020-04-26,3173968.604989368
2020-04-27,1410882.0705259766
2020-04-28,1306230.4811672037
2020-04-29,1353163.7509726228
2020-04-30,1271498.288821296
2020-05-01,1583225.827886224
2020-05-02,2926042.079794763
2020-05-03,3122938.754918331
2020-05-04,1403441.651927121
2020-05-05,1344531.665000906
2020-05-06,1438522.5261793553
2020-05-07,1404348.8197044693
2020-05-08,1763096.6813159403
2020-05-09,3151555.1156760682
2020-05-10,3391830.8516323743
2020-05-11,1712608.810112228
2020-05-12,1690094.4160494904
2020-05-13,1815910.9839118936
2020-05-14,1808405.1717072418
2020-05-15,2188192.4358454878
2020-05-16,3591720.014699095
2020-05-17,3840890.041949135
2020-05-18,2164324.6417033765
2020-05-19,2138309.115987585
2020-05-20,2254686.4389076727
2020-05-21,2232156.142427885
2020-05-22,2591809.7193517913
2020-05-23,3970680.361355633
2020-05-24,4191350.01187047
2020-05-25,2483196.0417390284
2020-05-26,2423314.1784870727
2020-05-27,2504391.472514084
2020-05-28,2445982.986939024
2020-05-29,2770024.953389667
2020-05-30,4114362.8259047484
2020-05-31,4302337.806706039
2020-06-01,2564014.7089572717
2020-06-02,2477088.291302775
2020-06-03,2534742.284795017
2020-06-04,2456915.1569421403
2020-06-05,2765805.6242774725
2020-06-06,4099396.518776696
2020-06-07,4281040.654683693
2020-06-08,2540691.532071158
2020-06-09,2455815.8831300717
2020-06-10,2519262.057639605
2020-06-11,2450537.980057398
2020-06-12,2771331.29918045
2020-06-13,4119049.879102828
2020-06-14,4316425.769323209
2020-06-15,2592764.9447602667
2020-06-16,2524879.2559209336
2020-06-17,2604974.0160630154
2020-06-18,2551944.401834098
2020-06-19,2886912.7616666113
2020-06-20,4246784.499038571
